date,rainfall_mm,water_level_meters,flow_m3_s,temperature_celsius,do_mg_L,bod_mg_L,nitrate_mg_L,fecal_coliform_mpn_100ml
2020-03-11,4.78,68.5,584.62,18.27,6.71,6.22,5.36,4229.0
2020-03-12,3.04,68.58,596.9,18.05,7.04,6.18,5.1,4184.0
2020-03-13,1.43,68.5,584.62,18.13,6.44,6.47,4.56,3784.0
2020-03-14,0.9,68.5,584.62,18.08,6.84,5.32,5.67,2857.0
2020-03-15,2.78,68.55,591.74,18.6,6.6,5.55,5.45,3121.0
2020-03-16,4.98,68.56,593.34,17.91,7.0,5.51,4.46,3116.0
2020-03-17,3.77,68.67,609.52,19.53,6.81,5.63,4.8,3071.0
2020-03-18,4.57,68.82,632.43,18.51,6.43,6.44,5.53,3819.0
2020-03-19,0.79,68.9,644.35,19.37,6.39,5.98,5.25,3725.0
2020-03-20,2.2,68.78,626.34,19.37,5.97,9.89,4.56,3694.0
2020-03-21,0.56,68.68,610.94,19.62,6.39,5.89,5.29,3156.0
2020-03-22,4.81,68.74,620.92,19.72,6.74,5.45,4.95,2958.0
2020-03-23,4.72,68.85,637.86,19.62,6.31,6.25,5.16,3907.0
2020-03-24,1.65,68.86,639.29,19.54,5.85,6.67,5.57,3432.0
2020-03-25,1.57,68.75,621.69,19.89,6.2,6.37,4.99,3191.0
2020-03-26,3.08,68.64,605.73,19.8,6.61,5.66,5.3,3839.0
2020-03-27,4.27,68.65,606.78,20.16,6.8,5.77,5.13,4625.0
2020-03-28,2.81,68.76,624.04,20.74,6.51,6.25,4.83,4723.0
2020-03-29,3.59,68.81,631.28,20.3,6.37,6.88,4.8,4737.0
2020-03-30,1.03,68.75,621.38,20.04,6.9,4.96,4.85,5059.0
2020-03-31,0.83,68.71,616.61,20.67,6.37,6.22,4.87,5151.0
2020-04-01,0.03,68.58,597.36,20.62,6.69,6.37,5.07,4537.0
2020-04-02,2.03,68.5,584.62,21.13,6.38,6.16,5.07,4283.0
2020-04-03,4.93,68.5,584.62,20.22,6.38,5.84,5.24,3970.0
2020-04-04,3.64,68.61,600.76,21.07,5.95,6.45,5.49,4052.0
2020-04-05,3.05,68.56,594.25,21.1,6.47,5.42,4.91,4168.0
2020-04-06,3.68,68.55,592.13,20.35,6.35,6.48,4.95,4360.0
2020-04-07,1.44,68.64,605.04,21.76,6.15,6.08,5.05,4065.0
2020-04-08,1.1,68.61,600.4,21.95,6.39,5.62,4.65,3493.0
2020-04-09,3.82,68.56,593.23,21.65,5.88,6.18,5.33,3149.0
2020-04-10,3.29,68.57,595.23,21.97,5.75,6.09,5.35,2930.0
2020-04-11,4.32,68.52,587.48,21.82,6.25,5.71,4.93,2601.0
2020-04-12,2.35,68.56,594.09,22.5,6.14,5.62,5.17,2195.0
2020-04-13,2.69,68.54,591.02,22.83,6.11,6.13,5.87,2316.0
2020-04-14,1.54,68.5,584.62,23.43,6.24,5.71,5.4,1839.0
2020-04-15,3.04,68.5,584.62,22.31,6.18,5.94,5.37,1963.0
2020-04-16,0.2,68.5,584.62,22.8,6.5,5.99,5.32,7412.0
2020-04-17,0.8,68.5,584.62,22.42,6.32,5.83,5.41,6648.0
2020-04-18,3.48,68.5,584.62,22.92,6.02,6.59,4.52,6040.0
2020-04-19,2.82,68.51,586.2,23.84,6.02,5.96,5.06,6203.0
2020-04-20,3.47,68.5,584.62,23.11,6.25,5.57,4.76,5978.0
2020-04-21,3.89,68.54,591.12,23.51,5.94,6.7,4.14,6286.0
2020-04-22,3.12,68.59,597.78,24.06,5.57,6.79,4.65,6701.0
2020-04-23,2.98,68.62,602.04,24.29,6.34,5.88,5.3,6230.0
2020-04-24,4.18,68.62,601.95,24.07,6.04,5.95,5.47,6193.0
2020-04-25,2.85,68.65,606.83,23.7,5.59,6.26,5.37,6551.0
2020-04-26,1.33,68.61,600.68,24.47,6.22,6.06,4.93,5353.0
2020-04-27,2.15,68.54,590.32,24.8,6.19,5.72,4.98,5192.0
2020-04-28,1.62,68.55,592.06,24.81,5.63,6.5,5.52,4782.0
2020-04-29,0.26,68.5,584.62,24.07,6.06,5.55,5.24,4767.0
2020-04-30,4.57,68.5,584.62,24.53,6.28,6.13,5.26,3863.0
2020-05-01,4.43,68.65,606.65,24.98,4.68,10.32,4.89,3595.0
2020-05-02,0.75,68.69,612.93,25.3,6.26,5.95,4.86,3881.0
2020-05-03,3.74,68.69,613.86,26.09,6.09,5.16,5.11,4213.0
2020-05-04,0.82,68.73,619.09,25.56,5.82,5.74,5.23,3380.0
2020-05-05,2.69,68.63,603.45,24.89,6.1,6.12,5.11,3326.0
2020-05-06,1.39,68.63,604.51,26.36,5.68,6.01,5.23,3698.0
2020-05-07,3.29,68.53,589.13,25.69,5.48,6.19,5.37,3668.0
2020-05-08,4.7,68.55,592.03,26.2,5.87,5.32,4.7,3863.0
2020-05-09,0.11,68.56,594.11,26.57,5.89,6.0,4.53,3742.0
2020-05-10,2.7,68.5,584.62,26.56,5.83,5.76,5.51,3813.0
2020-05-11,3.76,68.54,591.32,26.4,6.24,6.46,5.04,4101.0
2020-05-12,1.21,68.57,595.18,26.09,5.94,5.81,4.99,3499.0
2020-05-13,1.19,68.5,584.62,26.93,5.54,5.68,4.85,3856.0
2020-05-14,0.05,68.5,584.62,27.04,5.81,6.25,4.87,3253.0
2020-05-15,3.94,68.5,584.62,27.49,5.59,5.86,5.8,3019.0
2020-05-16,4.6,68.58,597.0,27.01,4.66,9.96,4.95,3507.0
2020-05-17,1.26,68.67,609.62,27.83,5.51,6.05,5.75,9367.0
2020-05-18,4.83,68.58,597.28,27.56,5.69,6.46,5.45,9160.0
2020-05-19,1.47,68.6,599.62,27.79,5.96,5.56,4.9,8761.0
2020-05-20,0.34,68.5,584.62,28.13,5.6,6.15,4.8,8096.0
2020-05-21,2.15,68.5,584.62,28.11,5.23,6.42,5.4,7956.0
2020-05-22,4.97,68.56,593.99,28.09,5.63,6.16,4.87,8003.0
2020-05-23,1.35,68.62,602.87,27.92,5.47,6.92,4.95,6869.0
2020-05-24,3.56,68.58,596.57,28.31,5.29,6.21,5.26,6080.0
2020-05-25,2.55,68.63,603.5,29.25,5.88,5.66,5.11,5968.0
2020-05-26,1.08,68.59,597.4,29.4,5.35,6.4,4.91,5313.0
2020-05-27,1.87,68.5,584.62,28.85,5.72,5.58,5.03,5052.0
2020-05-28,3.2,68.5,584.62,29.08,5.3,5.9,5.32,5686.0
2020-05-29,1.6,68.6,599.42,28.81,5.31,6.01,5.62,5412.0
2020-05-30,4.96,68.57,595.6,29.45,4.94,6.71,5.81,5484.0
2020-05-31,0.57,68.55,592.34,29.11,5.65,6.47,5.1,4354.0
2020-06-01,14.18,68.62,602.87,30.06,5.71,5.53,4.66,5824.0
2020-06-02,14.3,69.19,688.65,29.27,4.52,10.36,5.64,8366.0
2020-06-03,18.62,69.95,802.59,29.97,5.49,6.33,5.14,10277.0
2020-06-04,12.89,70.76,923.97,30.27,5.86,5.63,5.13,18079.0
2020-06-05,36.78,71.9,1094.26,30.14,5.22,6.08,5.59,20635.0
2020-06-06,2.71,73.18,1286.84,30.22,5.03,6.66,6.06,20458.0
2020-06-07,6.95,73.28,1302.12,31.41,4.86,6.83,5.37,19197.0
2020-06-08,7.81,73.55,1342.24,30.97,5.26,6.08,6.21,17958.0
2020-06-09,19.31,73.97,1405.39,30.75,5.28,6.73,5.65,19023.0
2020-06-10,14.48,74.0,1409.62,31.06,4.87,6.47,5.55,19661.0
2020-06-11,11.52,74.0,1409.62,31.17,5.11,6.55,5.76,19637.0
2020-06-12,27.0,74.0,1409.62,30.76,4.91,6.73,6.06,21371.0
2020-06-13,2.4,74.0,1409.62,31.35,4.72,6.81,5.27,21124.0
2020-06-14,13.41,74.0,1409.62,31.85,4.55,7.39,5.89,20611.0
2020-06-15,9.04,74.0,1409.62,31.77,5.05,6.72,6.05,19698.0
2020-06-16,27.76,74.0,1409.62,31.06,5.07,6.49,5.12,21062.0
2020-06-17,17.69,74.0,1409.62,31.51,4.83,6.87,5.43,22757.0
2020-06-18,1.15,74.0,1409.62,32.05,4.96,6.41,6.4,20739.0
2020-06-19,40.51,74.0,1409.62,31.64,4.85,7.04,6.04,22557.0
2020-06-20,0.41,74.0,1409.62,31.63,4.98,6.22,6.34,23170.0
2020-06-21,24.67,74.0,1409.62,31.39,5.1,6.81,6.28,23416.0
2020-06-22,10.28,74.0,1409.62,32.29,4.84,6.71,6.12,23642.0
2020-06-23,36.74,74.0,1409.62,32.23,4.75,6.86,6.08,25000.0
2020-06-24,7.13,74.0,1409.62,32.11,4.71,6.69,5.61,25000.0
2020-06-25,2.6,74.0,1409.62,31.65,5.02,6.26,6.24,24213.0
2020-06-26,7.06,74.0,1409.62,33.0,4.96,6.88,5.42,22605.0
2020-06-27,1.92,74.0,1409.62,33.0,4.68,6.32,5.85,20353.0
2020-06-28,10.96,74.0,1409.62,32.54,4.92,7.06,5.27,19007.0
2020-06-29,38.32,74.0,1409.62,31.95,4.67,6.74,6.13,21950.0
2020-06-30,25.78,74.0,1409.62,33.0,4.47,6.43,6.18,24497.0
2020-07-01,37.45,74.0,1409.62,33.0,4.92,6.7,5.65,25000.0
2020-07-02,17.91,74.0,1409.62,32.43,4.94,6.05,6.23,25000.0
2020-07-03,5.4,74.0,1409.62,32.73,5.06,6.9,5.42,25000.0
2020-07-04,31.72,74.0,1409.62,33.0,4.82,6.96,6.11,25000.0
2020-07-05,13.42,74.0,1409.62,32.32,4.6,6.6,5.59,25000.0
2020-07-06,25.89,74.0,1409.62,32.63,5.04,6.37,5.92,25000.0
2020-07-07,4.06,74.0,1409.62,33.0,4.6,7.0,5.95,25000.0
2020-07-08,7.51,74.0,1409.62,33.0,4.8,6.57,5.97,23960.0
2020-07-09,38.08,74.0,1409.62,33.0,4.61,6.79,6.1,25000.0
2020-07-10,10.45,74.0,1409.62,32.8,4.52,6.62,6.0,25000.0
2020-07-11,12.55,74.0,1409.62,33.0,4.86,7.23,5.38,24918.0
2020-07-12,32.98,74.0,1409.62,33.0,4.82,6.84,5.86,25000.0
2020-07-13,3.26,74.0,1409.62,33.0,4.93,6.44,5.43,25000.0
2020-07-14,35.79,74.0,1409.62,33.0,4.6,7.22,5.8,25000.0
2020-07-15,13.74,74.0,1409.62,33.0,4.83,6.59,5.85,25000.0
2020-07-16,28.69,74.0,1409.62,33.0,4.98,6.32,6.29,25000.0
2020-07-17,30.18,74.0,1409.62,33.0,5.03,6.4,6.18,25000.0
2020-07-18,8.01,74.0,1409.62,33.0,4.9,6.33,5.89,25000.0
2020-07-19,36.13,74.0,1409.62,33.0,4.7,7.0,5.47,25000.0
2020-07-20,5.21,74.0,1409.62,33.0,4.71,7.21,5.76,25000.0
2020-07-21,3.49,74.0,1409.62,33.0,4.41,6.67,6.45,25000.0
2020-07-22,39.88,74.0,1409.62,33.0,4.96,6.61,6.13,25000.0
2020-07-23,29.56,74.0,1409.62,33.0,4.88,7.33,5.79,25000.0
2020-07-24,3.13,74.0,1409.62,33.0,4.95,6.94,5.49,25000.0
2020-07-25,17.26,74.0,1409.62,33.0,4.92,7.11,5.19,25000.0
2020-07-26,2.67,74.0,1409.62,33.0,4.69,7.27,5.91,25000.0
2020-07-27,34.86,74.0,1409.62,33.0,4.52,7.09,5.59,25000.0
2020-07-28,7.0,74.0,1409.62,33.0,4.23,6.72,6.35,25000.0
2020-07-29,7.25,74.0,1409.62,33.0,4.94,6.11,6.18,25000.0
2020-07-30,21.12,74.0,1409.62,33.0,4.94,6.3,5.6,24874.0
2020-07-31,42.72,74.0,1409.62,33.0,4.97,6.51,5.4,25000.0
2020-08-01,7.27,74.0,1409.62,33.0,4.68,6.61,5.96,25000.0
2020-08-02,30.46,74.0,1409.62,33.0,4.84,6.31,5.44,25000.0
2020-08-03,21.75,74.0,1409.62,33.0,5.19,6.35,5.57,25000.0
2020-08-04,6.6,74.0,1409.62,33.0,5.0,6.67,5.86,25000.0
2020-08-05,27.52,74.0,1409.62,33.0,5.04,6.54,5.96,25000.0
2020-08-06,2.19,74.0,1409.62,33.0,4.75,6.59,6.03,25000.0
2020-08-07,3.67,74.0,1409.62,33.0,4.73,6.76,5.3,25000.0
2020-08-08,40.08,74.0,1409.62,33.0,4.95,6.63,5.56,25000.0
2020-08-09,6.59,74.0,1409.62,33.0,4.75,6.78,5.97,25000.0
2020-08-10,16.33,74.0,1409.62,33.0,4.77,6.51,5.83,25000.0
2020-08-11,4.35,74.0,1409.62,33.0,5.43,5.86,6.54,25000.0
2020-08-12,2.72,74.0,1409.62,33.0,5.01,6.19,6.08,25000.0
2020-08-13,2.05,74.0,1409.62,33.0,5.1,5.61,5.79,23200.0
2020-08-14,3.13,73.95,1402.38,33.0,4.8,6.6,5.93,21354.0
2020-08-15,35.6,74.0,1409.62,33.0,5.34,5.94,5.63,22873.0
2020-08-16,16.92,74.0,1409.62,33.0,5.15,6.63,6.07,23982.0
2020-08-17,4.47,74.0,1409.62,33.0,4.92,6.46,6.19,22912.0
2020-08-18,1.58,74.0,1409.62,33.0,4.46,7.11,6.03,20716.0
2020-08-19,15.34,74.0,1409.62,32.7,4.95,7.41,5.74,20215.0
2020-08-20,6.79,74.0,1409.62,33.0,5.13,6.0,5.56,20008.0
2020-08-21,7.23,74.0,1409.62,33.0,4.67,6.4,6.22,19743.0
2020-08-22,1.92,74.0,1409.62,33.0,4.93,6.41,6.23,18474.0
2020-08-23,21.77,74.0,1409.62,33.0,4.95,6.01,5.81,19460.0
2020-08-24,34.95,74.0,1409.62,33.0,4.66,6.7,5.96,21868.0
2020-08-25,10.17,74.0,1409.62,33.0,5.18,6.27,6.64,22291.0
2020-08-26,9.56,74.0,1409.62,33.0,5.2,6.32,5.74,21496.0
2020-08-27,3.25,74.0,1409.62,33.0,4.71,6.48,5.49,20522.0
2020-08-28,15.31,74.0,1409.62,33.0,4.55,6.45,5.62,21073.0
2020-08-29,9.6,74.0,1409.62,32.64,4.84,6.42,5.7,20787.0
2020-08-30,39.65,74.0,1409.62,33.0,5.03,5.51,6.14,23003.0
2020-08-31,24.09,74.0,1409.62,32.73,4.23,6.82,6.39,25000.0
2020-09-01,23.88,74.0,1409.62,33.0,4.74,6.59,6.43,25000.0
2020-09-02,4.21,74.0,1409.62,32.55,4.47,7.42,6.59,24695.0
2020-09-03,1.85,74.0,1409.62,32.12,5.22,6.75,5.97,23234.0
2020-09-04,3.91,74.0,1409.62,31.73,4.82,6.85,5.82,21265.0
2020-09-05,9.05,74.0,1409.62,32.7,5.02,6.82,6.3,19619.0
2020-09-06,34.51,74.0,1409.62,32.2,4.67,6.59,6.06,21125.0
2020-09-07,5.98,74.0,1409.62,31.98,4.37,6.83,6.37,21327.0
2020-09-08,26.51,74.0,1409.62,31.87,5.34,6.51,5.44,21886.0
2020-09-09,20.11,74.0,1409.62,32.35,4.76,6.75,5.66,25000.0
2020-09-10,3.06,74.0,1409.62,31.62,5.15,6.62,5.64,25000.0
2020-09-11,38.25,74.0,1409.62,32.01,4.3,7.08,6.25,25000.0
2020-09-12,4.64,74.0,1409.62,32.37,4.61,6.83,6.98,25000.0
2020-09-13,10.83,74.0,1409.62,31.99,4.95,6.74,6.49,25000.0
2020-09-14,10.21,74.0,1409.62,30.92,4.92,6.77,5.81,25000.0
2020-09-15,0.21,74.0,1409.62,31.48,5.29,6.39,5.93,25000.0
2020-09-16,4.91,73.92,1397.5,31.0,4.93,6.9,6.27,25000.0
2020-09-17,6.99,74.0,1409.62,30.46,4.99,6.7,6.51,24922.0
2020-09-18,17.24,74.0,1409.62,31.29,4.93,7.16,5.54,24991.0
2020-09-19,35.97,74.0,1409.62,30.46,4.94,6.72,6.07,25000.0
2020-09-20,23.94,74.0,1409.62,30.97,5.17,6.69,5.84,25000.0
2020-09-21,8.46,74.0,1409.62,30.62,5.13,6.74,5.89,25000.0
2020-09-22,39.62,74.0,1409.62,30.58,4.84,7.03,6.28,25000.0
2020-09-23,38.73,74.0,1409.62,31.01,5.0,7.4,5.79,25000.0
2020-09-24,3.82,74.0,1409.62,30.44,4.86,7.24,5.75,25000.0
2020-09-25,5.24,74.0,1409.62,29.59,5.43,6.25,5.73,25000.0
2020-09-26,4.2,74.0,1409.62,29.41,4.85,7.4,5.65,25000.0
2020-09-27,3.9,74.0,1409.62,29.11,5.0,6.58,5.52,25000.0
2020-09-28,1.64,74.0,1409.62,29.7,5.16,7.06,5.68,25000.0
2020-09-29,9.47,74.0,1409.62,29.14,5.49,7.02,5.65,25000.0
2020-09-30,9.95,74.0,1409.62,28.91,4.79,6.46,6.24,25000.0
2020-10-01,2.46,74.0,1409.62,29.38,4.9,6.78,6.03,22597.0
2020-10-02,0.81,73.89,1393.08,29.33,5.11,7.03,5.45,20726.0
2020-10-03,0.79,73.79,1378.66,29.43,4.92,6.72,5.92,18325.0
2020-10-04,1.34,73.71,1366.19,28.62,5.52,6.89,5.71,17165.0
2020-10-05,2.42,73.63,1353.93,29.31,5.55,6.49,5.61,15717.0
2020-10-06,0.95,73.53,1338.71,28.47,5.54,5.97,5.6,14735.0
2020-10-07,2.34,73.52,1337.49,28.0,5.32,6.86,5.79,19370.0
2020-10-08,1.49,73.48,1331.24,27.9,5.16,6.68,5.69,17455.0
2020-10-09,4.37,73.46,1329.3,27.96,5.37,6.71,6.03,17199.0
2020-10-10,0.08,73.51,1336.28,28.1,5.69,6.74,5.43,15733.0
2020-10-11,4.73,73.35,1312.11,27.85,5.1,6.59,6.19,13966.0
2020-10-12,2.24,73.5,1335.12,27.13,5.5,6.76,5.73,13380.0
2020-10-13,3.87,73.5,1334.18,27.91,5.21,6.14,5.68,12468.0
2020-10-14,2.0,73.45,1327.81,27.41,5.42,6.43,6.21,12156.0
2020-10-15,3.9,73.42,1322.38,27.73,5.07,6.98,5.83,12175.0
2020-10-16,5.0,73.47,1330.3,27.24,5.46,5.83,5.99,11757.0
2020-10-17,3.9,73.54,1340.76,26.61,5.34,6.24,5.95,11554.0
2020-10-18,4.02,73.62,1353.27,26.7,5.32,6.34,6.34,10910.0
2020-10-19,0.71,73.6,1349.34,26.93,5.21,7.75,5.77,9932.0
2020-10-20,3.88,73.56,1342.99,26.65,5.43,6.68,6.02,9355.0
2020-10-21,3.31,73.62,1352.32,25.89,5.69,6.67,5.65,8512.0
2020-10-22,0.19,73.56,1343.18,26.25,5.29,6.8,6.18,7779.0
2020-10-23,0.36,73.33,1309.84,26.71,5.03,6.63,5.67,7399.0
2020-10-24,0.17,73.27,1300.08,25.81,5.67,6.02,5.41,6772.0
2020-10-25,2.27,73.17,1285.84,25.33,5.52,5.93,5.91,6490.0
2020-10-26,2.42,73.11,1275.42,25.41,5.73,6.07,5.65,5938.0
2020-10-27,0.45,72.97,1255.21,25.75,5.63,6.83,5.55,5122.0
2020-10-28,4.75,72.86,1239.02,24.87,5.7,5.89,5.77,4960.0
2020-10-29,0.18,72.84,1235.87,25.41,5.89,6.05,5.65,4293.0
2020-10-30,1.21,72.69,1212.65,25.09,6.04,6.13,5.73,3903.0
2020-10-31,2.72,72.59,1198.69,24.21,4.97,10.23,5.78,3692.0
2020-11-01,3.91,72.63,1204.06,24.09,5.9,6.5,5.63,3968.0
2020-11-02,1.31,72.67,1210.39,24.03,5.43,6.99,5.69,4094.0
2020-11-03,2.78,72.63,1204.14,24.58,5.76,6.08,5.24,4421.0
2020-11-04,0.84,72.55,1191.99,24.15,5.11,6.53,5.64,3699.0
2020-11-05,0.64,72.36,1164.34,23.47,6.32,6.05,5.64,3046.0
2020-11-06,1.93,72.28,1152.23,23.65,5.4,5.93,6.46,3860.0
2020-11-07,4.18,72.31,1155.75,24.01,5.94,5.84,6.01,3854.0
2020-11-08,1.01,72.35,1162.2,23.62,4.75,10.45,5.22,3809.0
2020-11-09,2.5,72.29,1152.79,24.15,5.31,6.78,5.82,3528.0
2020-11-10,4.41,72.46,1178.17,23.58,5.41,6.96,6.02,3404.0
2020-11-11,0.98,72.44,1176.35,22.9,6.14,6.24,5.47,3429.0
2020-11-12,0.4,72.22,1143.15,23.02,5.93,6.54,5.52,3245.0
2020-11-13,0.63,72.04,1115.55,22.9,5.72,6.18,5.86,3598.0
2020-11-14,2.52,71.91,1095.6,22.56,5.43,6.6,5.74,3665.0
2020-11-15,3.32,71.88,1091.06,22.08,5.89,7.25,5.53,3681.0
2020-11-16,1.26,71.84,1086.19,22.1,6.11,6.0,5.39,3593.0
2020-11-17,0.34,71.69,1062.63,22.14,5.8,7.07,5.46,3568.0
2020-11-18,3.5,71.5,1035.33,22.61,5.93,6.09,5.53,2767.0
2020-11-19,3.04,71.46,1028.0,22.17,5.91,6.81,5.0,2563.0
2020-11-20,2.44,71.36,1013.07,21.45,5.84,7.36,5.62,2691.0
2020-11-21,1.31,71.27,999.66,21.38,6.15,5.9,5.36,2947.0
2020-11-22,2.22,71.24,995.83,21.56,5.72,6.77,5.29,2880.0
2020-11-23,4.23,71.19,988.34,22.12,6.23,6.24,4.94,8023.0
2020-11-24,3.57,71.27,1000.6,20.87,6.59,5.6,5.43,8222.0
2020-11-25,0.49,71.13,978.87,21.56,5.95,6.32,5.56,6639.0
2020-11-26,3.09,71.02,962.14,20.73,6.33,6.88,5.85,7068.0
2020-11-27,1.31,70.98,955.95,20.53,5.77,6.63,5.63,6613.0
2020-11-28,4.02,70.9,944.96,20.61,6.32,6.06,5.66,6806.0
2020-11-29,4.05,70.92,946.92,20.82,6.37,6.42,5.56,6316.0
2020-11-30,3.96,71.02,962.01,20.41,6.54,6.16,5.34,6208.0
2020-12-01,4.32,71.05,966.87,20.36,5.93,7.1,5.41,6517.0
2020-12-02,3.61,71.23,994.04,20.43,6.04,6.52,5.67,6338.0
2020-12-03,2.62,71.27,1000.72,19.76,6.75,6.48,5.64,5854.0
2020-12-04,1.22,71.21,990.96,19.97,6.52,6.03,5.58,4982.0
2020-12-05,2.19,71.17,985.24,19.23,6.19,6.44,5.86,10484.0
2020-12-06,4.22,71.15,982.81,20.25,5.65,6.74,5.94,9888.0
2020-12-07,2.52,71.14,980.8,19.56,5.96,6.61,5.22,10401.0
